add,comment_num,dev,download_num,grade,info,name,num,size,update_time,version

"<div id=""J_AdvBox"" class=""det-adv""></div>",0,爱肤宝（上海）信息科技有限公司,99万下载,5分,"皮肤宝，一个智能测肤、祛痘护肤药妆分享平台。2017年12月21日，皮肤宝、美图秀秀、上海市皮肤病医院在北京召开发布会，共同发布人工智能最新成果AI智能测肤及《2017中国女性皮肤问题研究报告》，帮助更多的用户轻松掌握自己的肤质、肤色、肤龄、痘痘、黑眼圈、黑头等皮肤问题的状况，定制适合自己的护肤方案，实现从虚拟的美（美图）到现实的美（更美更健康）。其实绝大部分皮肤问题通过图片的方式可让医生做出准确的判断。从而给出权威有效的治疗方案。皮肤宝汇聚数千名皮肤病方面专家。皮肤宝希望通过公立医院的医生、专家们的服务能够惠及更多的用户，如果您有这方面的需求，赶快下载皮肤宝把！【产品特色】1.知名专家：汇聚国内知名三甲医院皮肤科专家，皮肤问题即刻解决，咨询专家更容易。2.认证医生：全部为“实名认证”的公立医院医生，专业、可靠、安全、放心。3.图文问诊：手机拍张照片，足不出户皮肤问题轻松解决。4.公开问诊：用户可以发帖问诊, 通过发帖就可以咨询专家大牌医生。5.药妆商城：精准药妆匹配，通过药妆商城，购买优惠药妆。6.智能测肤：美图影像人工智能实验室黑科技，一键拍照测肤，轻松掌握肤质状况，定制适合自己的护肤方案。",皮肤宝-AI测肤药妆护肤社区,open_end,19.31M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1519265914""></div>",V2.9.2

"<div id=""J_AdvBox"" class=""det-adv""></div>",0,广州大象健康科技有限公司,535万下载,5分,"健康猫，以运动为核心的健康产业大平台。
健康猫，让运动更简单，和各体育运动项目世界冠军一起做运动。
来健康猫跟有趣有料的伙伴们一起聊运动，做运动，随
【主要功能】
◆找教练：世界冠军、全国冠军都可以是你的私人教练，武术、健身健美、太极拳、游泳、跑步等60个私教项目任你挑选。
◆健康商城：运动这事儿，没装备怎么行？健康商城上的产品，都是专业运动员推荐、运动达人精挑细选，品质有保证！ 
◆运动馆：运动就在家门口。 线下各个小区中的运动生活馆内设有健身房、瑜伽室、理疗区、教学区、休闲区，更有世界冠军、健康专家通过对你的身体情况的评估，为你量身订制一套运动健康方案。
◆小象运动：全国首款具有LBS随处可寻、手机扫码启动、定制个人运动处方、按分钟结算、健康数据跟踪等功能的智能共享跑步机。为用户提供检测，识别，处方，运动，反馈的整套运动解决方案。个人健康运动数据尽情掌握，实现随时随地运动。
◆健康达人：健康猫推出专属达人身份，健康达人让你有身份，更出彩，申请成为健康猫达人，下一个网红就是你。
◆喵村：有料又好玩的运动健康社群，每次来逛都不重样，可以加入你感兴趣的喵村社群，与有趣的人一起聊运动；",健康猫,open_end,64.83M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1520142351""></div>",V3.6.2

"<div id=""J_AdvBox"" class=""det-adv""></div>",0,东软熙康健康科技有限公司,229万下载,4.6分,"瘦瘦是一款健康瘦身减肥应用，2200万减肥用户的共同选择！全国减肥瘦身排名前列根据你的性别、身高、体重、年龄等资料;肥胖原因的评估结果;为你量身打造一套专业的健康减肥计划；对你的日常饮食进行一对一的指导；让你在日常走路、散步等运动中不知不觉甩掉脂肪。

【怎样才能真的瘦下来？】

『瘦瘦』根据你的性别、身高、体重、年龄等资料;为你量身定制个性化的减肥计划;从饮食、运动、生活习惯等各方面;助你成功减肥； 

【想知道自己肥胖的原因？】 

『瘦瘦』通过对你生活习惯的了解;找出你的肥胖原因； 

【如何吃的饱还能瘦？】 

『瘦瘦』为你提供多款个性化饮食方案;强大的食物能量查询功能更令你吃的放心。

【雾霾天不适合户外运动怎么办？】

『瘦瘦』为你提供丰富的室外及室内运动，运动减肥无处不在。

【坚持不下来怎么办？】 

『瘦瘦』可视化方案预测坚定你减肥的决心。贴心提醒功能不会让你为忘记找借口。 

【减肥问题不知道问谁？】 

『瘦瘦』助瘦专栏内容普及，私人减肥顾问服务随时为你答疑解惑。",瘦瘦-健康瘦身减肥顾问,open_end,27.62M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1520236889""></div>",V6.1.0

"<div id=""J_AdvBox"" class=""det-adv""></div>",0,深圳市三代人科技开发有限公司,1137万下载,4.9分,"宝宝打疫苗，就用小豆苗！
全国用户数量多、覆盖范围广、使用频率高、受家长欢迎的宝宝打疫苗一站式服务平台。


【核心功能-宝宝预防接种一站式服务】

1、电子接种证 
同步宝宝接种记录，已打疫苗、下针计划一目了然，手机随时查看接种信息
2、接种提醒
接种前自动提醒接种日期及种类，再也不会忘记打疫苗
3、点对点通知
接种点医生可对家长在线一对一发送门诊公告及通知、信息对等，省时省力
4、疫苗库存查询
家长可以在线查询对应门诊有无充足疫苗，家长不必因为门诊缺苗而白跑一趟。
5、在线预约接种时段
在线提前预约宝宝接种当天时段，减少排队等待时间，避免等待时交叉感染的风险
6、接种咨询与反馈
通过APP，接种前家长可咨询接种相关问题，接种后可以反馈接种情况及宝宝反映，本地医生在线回答相关咨询，提升服务满意度
7、延迟接种
家长可以通过“延期接种”功能，告知门诊医生无法前往接种的原因以及改期的日期，增加门诊医生的确定性，减少门诊医生因工作量大的漏通知、宝宝漏打疫苗现象。
8、在线缴费
家长通过APP快速支付，无需线下排队，减少现场支付找零时间。",小豆苗疫苗助手,open_end,10.11M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1521198715""></div>",V4.5.6

"<div id=""J_AdvBox"" class=""det-adv""></div>",0,北京春雨天下软件有限公司,798万下载,3.9分,"只要您将手机随身携带，自动记录每日运动量。

轻量实用，简单清新
-记录每天行走步数
-自动测量卡路里消耗
-步行高低峰实时显示
-登陆后数据自动备份
-好友竞赛，邀请大家一起走

持续使用后台GPS会大大降低电池续航时间。
Continued use of GPS running in the background can dramatically decrease battery life.

【联系我们&问题反馈】
微博：@春雨医生
Email：feedback@chunyu.me",春雨计步器,open_end,6.1M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1512973660""></div>",V2.3.0

"<div id=""J_AdvBox"" class=""det-adv""></div>",0,北京维康恒美信息技术有限公司,362万下载,5分,"悦美，只做有品质的医疗美容 

悦美微整形APP，小姐姐们都爱用

为你带来安心的整形体验



逛逛悦美你就会发现，这里有： 

--- 超多热门微整形项目，没准你的闺蜜比你先下手了！ 

--- 多到看不过来的的真实整形案例，看看效果再拨草~ 

--- 严选优质的整形医生，筛查医生的资质和经验 

--- 还是担心和不知道该如何选择？进入悦美整形社区，有经验的小伙伴和医生会一起帮你出出主意 



来悦美，活得漂亮，爱自己 



欢迎联系我们： 

－微信公众号请关注：悦美APP 

－新浪微博新关注：悦美整形APP",悦美,open_end,32M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1520416928""></div>",V6.3.8.5

"<div id=""J_AdvBox"" class=""det-adv""></div>",0,广东壹号大药房连锁有限公司上海分公司,646万下载,4.8分,"海量用户正在使用的网上药店。
1药网（前身1号药店、壹药网）获国家食品药品监督管理总局认证，是国内知名领先的手机药店，致力并提供专业、贴心、便捷的购药服务。
1、 正品保证：首家“正品联盟”，超过500家知名医药健康产品厂商源头采购，品质保证。
2、 品类齐全：商品超过140,000种，涵盖中西药品、维生素钙、滋补保健、隐形眼镜等。
3、 优惠满满：便宜买好药，多形式的优惠让利，每月会员专享，始终为您准备惊喜。
4、 专业服务：每天9:00~21:00专业用药在线咨询服务，帮您选对药、用对药。
5、 名医在线：卫计委批准的互联网医院项目，三甲名医提供电话、视频问诊及电子处方。
6、 闪电配送：当天下单，当天出库；北京、上海、广州等重点城市次日达。
7、 快捷体验：快速找药、便捷支付，支持银联、支付宝、微信、货到付款等。
8、 隐私保护：所有药品严格打包，杜绝泄露药品信息。",1药网,open_end,60.45M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1518161577""></div>",V5.2.2

"<div id=""J_AdvBox"" class=""det-adv""></div>",0,珠海三益堂科技有限公司,597万下载,4.6分,"「轻加」——减肥服务专家，一个神奇的瘦身APP
适合你的瘦身方案都在这里  
获得国民女神高圆圆青睐和投资，帮助数千万用户成功瘦身

轻加让减肥更简单

【轻加都有什么】
·智能减肥工具
记录体重、饮食、运动、查询热量，数据清晰看得见

·专业丰富运动库
不同难度的运动视频教程，由简入难，跟着做就能瘦

·快手营养餐视频
营养师为减肥人群定制的营养食谱，快手易操作，越吃越健康

·量身定制瘦身计划 [new！] 
职业人、学生党、辣妈帮，都可以一键定制专属瘦身计划，省心省时

·24小时陪伴减肥服务
减肥顾问全程在线指导，任何疑问都可以在线解答

·优质减肥社区
瘦身达人聚集地，分享励志故事、减肥心得，和小伙伴一起，想不瘦都难

·海量减肥产品
运动硬件、健康食品，编辑亲测，品质推荐，时髦又实用，看到就买得到

·加速服务线上减肥营
重要时刻，需要快快瘦？加入悦瘦营，督导、教练、营养师在线服务，承诺瘦身效果

·奖金挑战
减肥新玩法，付押金参与运动，督促自己，坚持下来就有奖励。",轻加减肥,open_end,42.29M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1519973143""></div>",V6.4.8

"<div id=""J_AdvBox"" class=""det-adv""></div>",0,西安瑜乐文化科技股份有限公司,547万下载,4.7分,"「每日瑜伽」官方APP— 你的专属瑜伽视频教练

我是瑜伽小白，怎么破？-「10天入门系列（上下）」及10多种练习课程让你快速入门～

上班好累，我怕坚持不下来？-「加入结伴」，系统将自动匹配yogi，和你一起组成小分队，一起练习，互相监督，互相鼓励～

我以前练过瑜伽，但貌似没什么效果？-「参加全球独家维密系列」，Victoria\'s Secret Fashion Show中维密天使教练亲自编排计划，打造维密天使身材～

国内瑜伽好像都一个样，动作体式都没差啊？
-「参加名师课堂」海外瑜伽大师教练团队倾力打造，领略海外的瑜伽练习方式，不同的瑜伽文化～

我天天练习瑜伽，我有一堆心得想要跟yogi分享？-「加入瑜乐圈」成为达人，分享你的瑜伽心得，诉说你的瑜伽故事，线上5000万用户和你一起互动，收获粉丝，沉淀经历～

- 推荐精品练习
「维密系列计划」、「名师课堂系列计划」、「极速瘦身计划」、「冥想系列」、「减压舒缓系列」
 
如果你需要更多精彩内容，请关注：
微信公众号：「dailyyoga」
微博官方账号：@每日瑜伽DailyYoga
客服邮箱：supportios@dailyyoga.com
商务合作：subin@dailyyoga.com",每日瑜伽,open_end,23.7M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1519955749""></div>",V6.4.5.2

"<div id=""J_AdvBox"" class=""det-adv""></div>",0,上海薄荷信息科技有限公司,441万下载,4.7分,"薄荷健康——减肥食谱、健身视频、卡路里计算
减肥人手必备的App，无数减肥达人的聚集地；
8000万减肥健身用户的选择，6次苹果首页推荐。
用过的小伙伴说：
Bblythe_96：
来薄荷一个多月一直坚持合理膳食 运动，现在已经健康减重 10 斤，开始突飞猛进现在持续平台期，不过有你们在我就不怕停滞不前～我爱薄荷！ 
Sixtyh：
因为薄荷才有了记录的习惯。这样的习惯是薄荷减重计划慢慢帮我培养起来的。很多的盲区知识点在薄荷都能找到答案。每天的提醒也让我在工作繁忙的时候更加懂得关心自己。很多成功例子每天也在鞭策着我。所以说它是好闺蜜一点都不跨张。我很感谢在我最需要的时候遇见薄荷。
朕是你维爷：
才来薄荷一个星期就已经可以控制住自己的口了，彻底爱上薄荷，170 身高 136 斤的女汉子坚持下来也是可以变成小清新的吧。
每天陪娃睡觉时默默的守候着亲爱的薄荷，太喜欢这里，满满的正能量！！去年十月娃满 20 个月了，成功断奶后开始减肥，160 的身高，从 159 斤到现在 111 斤，还想努努力再减几斤，好好塑形。真的，30 岁后的我比从前更美，更爱自己！
楚小妞儿：
自从来了薄荷，认识好多贴心的小伙伴，去健身房也不会因为觉得孤单而坚持不下去了！也知道了好多好多健康减肥的知识，每天挥洒着汗水，看着身体的变化，相信自己一定能做到，不为别人，只为了自己！
有效减肥，遵循科学，保障健康 ——为您专设健康模型，跟踪体重、围度等多维数据，持续优化减肥方案，健康有效  权威食物库，热量精确查，吃的明白 ——薄荷科学家8年来一直专注于中国食物库的精确与完善，百度、三星均采用薄荷数据 摄入和消耗便捷记录、科学分析，减肥高效 ——三餐热量随手记， HealthKit 记录即时同步，改善习惯更便捷；
提供适合国人的高效燃脂的运动
——薄荷有专业的健身团队，持续更新国际先进的运动方法，更自主研发符合国人体质的减肥训练 首屈一指的减肥社区，上千万人见证您的美丽蜕变 ——理解你的伙伴，有力的鼓励，激动人心的成功故事，海量的减肥经验 薄荷商店 ——减肥瘦身代餐、减脂健身饮食，全搞定！",薄荷健康,open_end,12.59M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1521449057""></div>",V6.1.3.2

"<div id=""J_AdvBox"" class=""det-adv""></div>",0,珠海健康云科技有限公司,257万下载,4.4分,"【快速问医生】

三甲名医专家平均1分快速回答您的健康问题。6000万人首选的健康咨询APP。

认真提供具有社会价值的医院医疗服务，促进医患和谐，为解决中国“看病难”、“寻医难”找到有效的通途。

帮您找到全国最牛的医生看病,为你解决看病难题，让医疗真正为你服务！

把协和医院、301医院等全国著名三甲医院的16万医生装进口袋。一部手机解决看病难题



-----主要功能-----

【在线问诊】

---7 x 24小时随时在线

---全国70000位执业医生全科覆盖

---快速为你提供精准的健康咨询



【语音搜索】

---一说即应，省心省力

---最智能最海量的健康搜索平台

---语音查找疾病、药品等优质健康知识



【家庭医生】

---挑选您喜爱的私人医生

---查看医生视频、好评率、患者印象和评价

---获得个性化的医疗服务



【病友社区】

---超过500个病友群、40000位病友

---超过19万医生可在线预约挂号

---覆盖全国4690家医院



【本地医疗】

---实时查找附近医院、药店、医生、病友

---获取周边更多健康服务



【电子病历】

---上传病历到云端，永不丢失，随时查看

---再也不用在纸堆翻找病历

 

常见问题：

1.怎么免费发帖咨询医生？

　您好，在没有登陆用户名的前提下，点击免费提问，系统赠送以ask开头的用户名和密码，请妥善保管。提问成功后，医生通常会在10分钟内为您解答，您可以在个人中心--我的提问进入查看医生的回复。

2.如何电话咨询医生？

　　您好，电话咨询医生需要购买医生的服务才可进行，所有医生来自公立医院，取得了执业医师证件，患友可放心咨询。

　　咨询费用：根据医生的职称分为10健康币/次、30健康币/次 （1健康币=1元），健康币需要通过移动手机话费、网银、支付宝充值方可。

　　咨询步骤：免费注册会员--根据您的病情选择医生--进入医生个人网站购买服务--与医生通话

　　咨询帮助：请联系客服人员协助。",快速问医生-三甲医生,open_end,13.89M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1520569663""></div>",V9.4.8

"<div id=""J_AdvBox"" class=""det-adv""></div>",0,华为软件技术有限公司,1460万下载,4.2分,"华为运动健康为你提供专业的运动记录与减脂塑型等训练课程，结合科学睡眠及健康服务，让你跑的更快更远，变得更健康。

1. 携手哈佛医学院CDB中心，助你睡的更香
配合华为穿戴设备，准确监测不同睡眠阶段（浅睡、深睡、快速眼动和清醒），提供科学的睡眠质量评估和改善建议。
2. 摆脱时间地点与器械的限制，随时随地徒手健身
精心设计“减脂塑型、跑步热身、办公室拉伸”等训练课程，你“口袋”中的健身教练。
3. 走路、跑步、骑行运动记录
精准低功耗计步，跑步轨迹、心率、步频、配速等运动数据一目了然。
4. 跑步训练计划
支持5公里到全马的在线训练计划，不管你是新手还是马拉松老将，都可以跑的比以往更快更远更安全。
5. 血压、血糖、体重等健康指标管理
国内外知名智能健康配件数据接入，帮你记录并多维度跟踪你的健康状况。
6. 数据同步
支持计步数据同步到微信运动、QQ运动、Jawbone UP、MyFitnessPal等第三方平台。
7. 丰富的线上活动和运动健康知识
8. 与华为穿戴APP数据整合，提供更完整、统一的运动健康服务。

获取更多信息，请关注微信公众号[华为运动健康]",华为运动健康,open_end,88.51M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1518319287""></div>",V8.0.1.316

"<div id=""J_AdvBox"" class=""det-adv""></div>",0,挂号网（杭州）科技有限公司,409万下载,4.4分,"微医，系国家卫计委指定的全国就医指导平台，为患者提供全方位就医服务。通过微医，患者不仅能够随时随地进行在线问诊、挂号预约、手机候诊、远程取报告单，还能建立专属的健康档案，与医生紧密联系，查询疾病知识，结识病友伙伴。
当前，微医已连接数千家三甲医院，全面覆盖全国27个省份，服务数十万医生及亿万患者，是国人健康咨询与挂号就医的不二之选，被很多用户视为挂号神器。
* 预约挂号：挂号摆脱排队烦恼。微医连接了覆盖全国27个省份数千家三甲医院的挂号资源，用户登录微医，按照症状查找专家医生，轻松实现预约挂号；
* 专家问诊：图文、电话、视频三剑合璧，实现患者与名医的远程沟通、在线诊疗，极大提高就医效率，正所谓足不出户看名医；
* 患者报到：通过微医，患者可与医生建立联系，便于长期咨询、诊后随访、诊中关怀、用药调整等。
* 免费咨询：微医集团提供免费的全科医生，为广大患者挂号前作疑难解答和基本的医疗知识援助。
* 医言堂：汇聚名医和千万用户的医患社区。用圈子找到志同道合的人，交流就医经验，分享健康心得；还能与医生直接交流，获取帮助，学习专业的健康科普知识。",微医,open_end,35.65M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1518414040""></div>",V3.1.7

"<div id=""J_AdvBox"" class=""det-adv""></div>",0,上海好卓数据服务有限公司,543万下载,4.5分,"优健康，您掌上的健康风险管理专家，基于中国体检品牌美年大健康和全国公立医院的健康大数据，为您打造一款全面掌握自身身体状况，进行有效健康管理的神器！
【体检报告一键领取，数据终身保存】 
体检报告手机随时随地查看，方便快捷；
历年报告电子化、云存储，各项历史数据全对比，您的健康走势一目了然；
【体检报告权威解读】
200位医生，搭建您私人的专家顾问团，报告在线解读，再也不用担心各种专业名词看不懂；
【定制个性化体检套餐】
专业的数据模型，定制专属体检项目，进行有效的健康管理；
【健康风险预测】
配备全国知名医疗专家团队，根据您的各项体检数据指标，为您预测未来健康风险，防范未然治未病；
【家庭健康全管理】
家庭健康档案一个账号全管理，关注全家健康状况；购买老人专属体检套餐，孝敬父母；
【私人定制健康管理方案】
健康管理师一对一制定专属健康管理方案，并全程指导您进行身体健康管理；
【个性化健康资讯】
切合您健康有关的资讯，让您更了解您的健康情况等相关内容，懂您所需！


我们深知产品还有很多不完善的地方，您有任何槽点或建议，欢迎添加我们的公众号：u-jiankang，进行吐槽；同时喵医生将会为您解答疾病相关问题。",优健康,open_end,31.36M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1521464838""></div>",V4.14.1

"<div id=""J_AdvBox"" class=""det-adv""></div>",0,南京矽汇信息技术有限公司,243万下载,3.9分,"全面跟踪孕期的每一天,根据孕期的不同时间段,提供相应的知识。
